Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
2,0.008505291014444083,469.0,33.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
3,0.010616791027132422,481.0,45.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
4,0.012515874987002462,481.0,56.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
5,0.014459791011177003,481.0,67.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
6,0.016552707995288074,481.0,78.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
7,0.018547916028182954,481.0,89.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
8,0.020626000012271106,487.0,101.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
9,0.022698790999129415,495.0,113.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
10,0.024649750033859164,495.0,124.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
11,0.026707082986831665,495.0,135.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
12,0.028659416013397276,495.0,146.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
13,0.03070958302123472,497.0,158.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
14,0.032655625022016466,497.0,169.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
15,0.03466116602066904,497.0,180.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
16,0.03690025000832975,499.0,192.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
17,0.03905016602948308,499.0,203.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
18,0.04107445798581466,499.0,214.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
19,0.04306300001917407,499.0,225.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
20,0.045259458012878895,500.0,237.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
21,0.04733470798237249,500.0,248.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
22,0.0493666660040617,500.0,259.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
23,0.05132825003238395,500.0,270.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
24,0.053454582986887544,501.0,282.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
25,0.055492333020083606,501.0,293.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
26,0.05767700000433251,503.0,305.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
27,0.05977529101073742,504.0,317.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
28,0.06196754099801183,505.0,329.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
29,0.06393875001231208,505.0,340.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
30,0.06583216600120068,505.0,351.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
31,0.06770491600036621,505.0,362.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
32,0.06973087502410635,506.0,374.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
33,0.07178908301284537,507.0,386.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
34,0.07368129101814702,507.0,397.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
35,0.0755515830242075,507.0,408.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
36,0.07742404099553823,507.0,419.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
37,0.07936687499750406,507.0,430.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
38,0.0814796659979038,508.0,442.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
39,0.08341891597956419,508.0,453.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
40,0.08531833300366998,508.0,464.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
41,0.08720412501133978,508.0,475.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
42,0.0892337909899652,508.0,486.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
43,0.09113854099996388,508.0,497.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
44,0.09301287500420585,508.0,508.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
45,0.09491341601824388,508.0,519.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
46,0.09680687502259389,508.0,530.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
47,0.09887154097668827,508.0,541.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
48,0.10120008297963068,511.0,553.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
49,0.10319549997802824,511.0,564.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
